"No","year","month","day","hour","season","PM_US.Post","DEWP","HUMI","PRES","TEMP","cbwd","Iws","precipitation","Iprec","date"
43828,2015,1,1,3,4,44,-11,40.24,1033,1,"NW",24,0,0,2015-01-01
43832,2015,1,1,7,4,41,-10,50.38,1034,-1,"NW",42,0,0,2015-01-01
43836,2015,1,1,11,4,22,-14,23.77,1034,5,"NE",7,0,0,2015-01-01
43840,2015,1,1,15,4,51,-16,20.14,1033,5,"NE",8,0,0,2015-01-01
43844,2015,1,1,19,4,57,-13,31.88,1033,2,"NW",3,0,0,2015-01-01
43848,2015,1,1,23,4,57,-12,39.92,1032,0,"NW",13,0,0,2015-01-01
43852,2015,1,2,3,4,70,-8,63.45,1031,-2,"cv",1,0,0,2015-01-02
43856,2015,1,2,7,4,95,-7,68.56,1031,-2,"SW",1,0,0,2015-01-02
43860,2015,1,2,11,4,82,-12,26.09,1031,6,"NW",6,0,0,2015-01-02
43864,2015,1,2,15,4,71,-14,18.07,1029,9,"NW",5,0,0,2015-01-02
43868,2015,1,2,19,4,102,-10,30.61,1030,6,"NE",12,0,0,2015-01-02
43872,2015,1,2,23,4,114,-5,51.84,1029,4,"SE",4,0,0,2015-01-02
43876,2015,1,3,3,4,109,-4,60,1027,3,"SE",2,0,0,2015-01-03
43880,2015,1,3,7,4,106,-4,60,1026,3,"SE",6,0,0,2015-01-03
43884,2015,1,3,11,4,87,-1,52.98,1024,8,"SE",22,0,0,2015-01-03
43888,2015,1,3,15,4,94,-5,30.09,1020,12,"SW",5,0,0,2015-01-03
43892,2015,1,3,19,4,107,-1,52.98,1020,8,"SE",12,0,0,2015-01-03
43896,2015,1,3,23,4,85,3,75.67,1018,7,"SE",2,0,0,2015-01-03
43900,2015,1,4,3,4,87,3,93.19,1018,4,"SE",1,0,0,2015-01-04
43904,2015,1,4,7,4,117,2,93.13,1018,3,"SE",2,0,0,2015-01-04
43908,2015,1,4,11,4,178,1,38.56,1018,15,"cv",1,0,0,2015-01-04
43912,2015,1,4,15,4,105,-3,23.77,1017,18,"NE",2,0,0,2015-01-04
43916,2015,1,4,19,4,160,0,43.6,1017,12,"SE",5,0,0,2015-01-04
43920,2015,1,4,23,4,95,3,61.76,1016,10,"SE",5,0,0,2015-01-04
43924,2015,1,5,3,4,61,8,87.38,1015,10,"SE",11,0,0,2015-01-05
43928,2015,1,5,7,4,59,11,93.6,1014,12,"SE",28,0,0,2015-01-05
43932,2015,1,5,11,4,48,8,52.02,1013,18,"SW",12,0,0,2015-01-05
43936,2015,1,5,15,4,64,5,42.32,1011,18,"SW",28,0,0,2015-01-05
